title,assigned_label,potential_labels
Indian researchers show how Covid-19 PPE can turn into biofuel,SCIENCE,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Why COVID-19 poses a special risk during pregnancy, and how hair can split steel",SCIENCE,"['HEALTH_NATION', 'SCIENCE_TECH']"
Alyssa Milano says she's losing her hair after battling COVID-19 for months,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Study Says Obesity Raises Risk of Death from Covid-19 Among Men,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Brazilian billionaire Lemann leads initiative to build COVID-19 vaccine factory,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"BCG vaccine is safe, does not increase COVID risk: Researchers - Sentinelassam",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"GigaGen Announces Publication of Research Describing a New Class of Drugs, Recombinant Hyperimmunes, Including its Novel COVID-19 Therapy, GIGA-2050",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"As Russia announces approval of Covid-19 vaccine, some questions remain",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Can Air Conditioners Spread COVID-19?,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 stoush keeps detainee in limbo,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
COVID-19 study finds racial disparity in hospitalizations in Minnesota,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Covid-19: S'pore experts question claim D614G more contagious,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
It's not for me: speed of COVID-19 vaccine race raises ...,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Ontario doctor subject of complaints after COVID-19 tweets,SCIENCE,"['HEALTH_NATION', 'SCIENCE_TECH']"
Alyssa Milano posts video demo of COVID-19 hair loss,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"State dodged 20,000 new COVID cases a day: Deputy Chief Health Officer",HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
"Study hints, can't prove, survivor plasma fights COVID-19",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Russian researchers claim disulfiram, a drug used to treat alcoholism, may be effective against COVID-19",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
Juice bar slammed for COVID claims,HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Covid-19: Many recovered patients complainof lingering after-effects, says report",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Pets and COVID-19: Humans can pass on coronavirus to dogs and cats, study finds | Daily Sabah",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
A titanium oxide nanowire-based air channel can trap and devastate microorganisms,SCIENCE,"['SCIENCE_TECH', 'WORLD_NATION']"
"Virginia August 8 COVID-19 update: Over 1,300 cases reported statewide with 30% reported from Hampton Roads",HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
"Government should ensure anyone who has to stop work is still paid, says leading GP",HEALTH,"['SCIENCE_TECH', 'WORLD_NATION']"
"State confirms another 1,165 cases, 6 new COVID-19 deaths",HEALTH,"['HEALTH_NATION', 'WORLD_NATION']"
"UK reports highest daily total COVID cases since June 21 at 1,148",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
"Plasma Therapy Treatment Safe, Effective for Covid Patients: Researchers",HEALTH,"['HEALTH_NATION', 'SCIENCE_TECH']"
