,entropy,articles,risk
3downnation.com,0.0,4,HIGH
5dariyanews.com,0.0,1,HIGH
theaureview.com,0.0,2,HIGH
theatlantavoice.com,0.0,1,HIGH
thecinemaholic.com,0.0,1,HIGH
thechestnutpost.com,0.0,1,HIGH
thechelseachronicle.com,0.0,5,HIGH
thecheckeredflag.co.uk,0.0,4,HIGH
thecelticbhoys.com,0.0,6,HIGH
thecattlesite.com,0.0,1,HIGH
thecatholicuniverse.com,0.0,1,HIGH
yourbigsky.com,0.0,1,HIGH
yellowhammernews.com,0.0,1,HIGH
yasstribune.com.au,0.0,5,HIGH
14850.com,0.0,1,HIGH
90min.com,0.0,20,HIGH
604now.com,0.0,2,HIGH
67hailhail.com,0.0,10,HIGH
zambiawatchdog.com,0.0,1,HIGH
zambianfootball.co.zm,0.0,1,HIGH
thetowerpost.com,0.0,1,HIGH
yubanet.com,0.0,1,HIGH
yovizag.com,0.0,1,HIGH
1010wins.radio.com,0.0,1,HIGH
yoursun.com,0.0,1,HIGH
zycrypto.com,0.0,2,HIGH
zobuz.com,0.0,1,HIGH
yankton.net,0.0,1,HIGH
yaleclimateconnections.org,0.0,1,HIGH
4bc.com.au,0.0,1,HIGH
49erswebzone.com,0.0,2,HIGH
13wmaz.com,0.0,1,HIGH
actionnewsnow.com,0.0,2,HIGH
actionnetwork.com,0.0,3,HIGH
acsh.org,0.0,2,HIGH
acmilan.theoffside.com,0.0,2,HIGH
acmepackingcompany.com,0.0,3,HIGH
www2.ljworld.com,0.0,1,HIGH
yorkregion.com,0.0,1,HIGH
yorkmix.com,0.0,1,HIGH
yorkdispatch.com,0.0,1,HIGH
yogonet.com,0.0,1,HIGH
yourbasin.com,0.0,1,HIGH
yorktonthisweek.com,0.0,1,HIGH
yorkshirecoastradio.com,0.0,1,HIGH
247wallst.com,0.0,1,HIGH
abc12.com,0.0,1,HIGH
aaj.tv,0.0,1,HIGH
aceshowbiz.com,0.0,4,HIGH
accessonline.com,0.0,4,HIGH
accessaa.co.uk,0.0,1,HIGH
absolutenewsjournal.com,0.0,8,HIGH
abqjournal.com,0.0,1,HIGH
aerotime.aero,0.0,1,HIGH
theadvocate.com.au,0.0,1,HIGH
theadviser.com.au,0.0,1,HIGH
theadvertiser.com,0.0,1,HIGH
news.expats.cz,0.0,1,HIGH
the18.com,0.0,5,HIGH
the12thman.in,0.0,3,HIGH
thebridge.in,0.0,1,HIGH
abc57.com,0.0,1,HIGH
abc30.com,0.0,3,HIGH
ada.org,0.0,1,HIGH
thebookseller.com,0.0,1,HIGH
thebodylockmma.com,0.0,1,HIGH
theblockcrypto.com,0.0,4,HIGH
news.usc.edu,0.0,2,HIGH
thebirdwrites.com,0.0,1,HIGH
thebaynet.com,0.0,1,HIGH
aeresearch.net,0.0,188,HIGH
advox.globalvoices.org,0.0,1,HIGH
advertiser.ie,0.0,1,HIGH
adventistreview.org,0.0,1,HIGH
adifferentleague.co.uk,0.0,1,HIGH
africafeeds.com,0.0,1,HIGH
africacheck.org,0.0,1,HIGH
ynaija.com,0.0,2,HIGH
yle.fi,0.0,1,HIGH
yiba.co.za,0.0,1,HIGH
radio.wpsu.org,0.0,1,HIGH
radio.foxnews.com,0.0,1,HIGH
africacenter.org,0.0,1,HIGH
africacdc.org,0.0,1,HIGH
news.umanitoba.ca,0.0,1,HIGH
afloat.ie,0.0,1,HIGH
afl.com.au,0.0,79,HIGH
afinancebroker.com,0.0,4,HIGH
afc.com.au,0.0,6,HIGH
afc.co.uk,0.0,1,HIGH
afar.com,0.0,1,HIGH
aircargonews.net,0.0,2,HIGH
airalamo.com,0.0,6,HIGH
aidsmap.com,0.0,1,HIGH
agweek.com,0.0,1,HIGH
agrimoney.com,0.0,3,HIGH
airqualitynews.com,0.0,1,HIGH
airlines.iata.org,0.0,1,HIGH
airforce-technology.com,0.0,1,HIGH
qnews.com.au,0.0,1,HIGH
qctimes.com,0.0,1,HIGH
qconline.com,0.0,1,HIGH
q961.com,0.0,1,HIGH
q13fox.com,0.0,1,HIGH
q107.com,0.0,9,HIGH
pwtorch.com,0.0,1,HIGH
pv-tech.org,0.0,1,HIGH
news.uci.edu,0.0,1,HIGH
pursuit.unimelb.edu.au,0.0,2,HIGH
purexbox.com,0.0,5,HIGH
punters.com.au,0.0,1,HIGH
radioalice.radio.com,0.0,1,HIGH
tevonews.com,0.0,1,HIGH
tennisworldusa.org,0.0,15,HIGH
tennisnow.com,0.0,2,HIGH
tennishead.net,0.0,9,HIGH
tennis365.com,0.0,6,HIGH
ag.hyperxgaming.com,0.0,5,HIGH
afterdawn.com,0.0,1,HIGH
afrik21.africa,0.0,1,HIGH
africanreview.com,0.0,4,HIGH
africanexponent.com,0.0,8,HIGH
albaniandailynews.com,0.0,1,HIGH
al-monitor.com,0.0,4,HIGH
ajp.com.au,0.0,1,HIGH
ajot.com,0.0,1,HIGH
ajmc.com,0.0,7,HIGH
airspacemag.com,0.0,4,HIGH
theapopkachief.com,0.0,1,HIGH
